Intent,Final Resolution,
Cancel_PO,"Cancelling a PO is a two step process. The first step involves cancelling the PO; the second step involves dispatching the cancelled PO so that status changes to ""Cancelled"" status. Please follow this link that explains the steps in detail
http://www.fiscal.ca.gov/access-fiscal/documents/FISCal.362-CancelaPODis-encumbertheRemainingBalanceandDispatchtheCanceledPO1.0.docx",
Copy_Requisition,In order for a Requisition to be copied to PO the Requisition must first be budget checked. Once the Requisition has been budget checked it will be available to copy to PO.,
Account_Code,"When changing the Account Code value in a PO line first make sure the ""Alternate Account"" field is blank. Follow these steps to clear the account code and replace with another account code: 

1. Open the PO and navigate to the chartfields
2. Clear the value in “Alt Account” field
3. Click in the “Account” field and search for the desired value of account

If the issue does not get resolved by removing the value from the Alt account field, raise a ticket with the Fiscal Service Center fiscalservicecenter@fiscal.ca.gov to have the issue investigated further.
",
Approval_Notification,"To change the email configuration for the account navigate to:
 Main Menu > My System Profile
 Uncheck the checkbox to receive emails. If the issue still persists after provided resolution, submit a ticket with the FI$Cal Service Center fiscalservicecenter@fiscal.ca.gov or via ServiceNow to get issue resolved.",
Shipping_Address,"To add, update, or remove a ship to location raise a ticket with Fiscal Service Center via ServiceNow or by emailing fiscalservicecenter@fiscal.ca.gov along with a Configuration Modification Request (CMR) of the requested changes. CMRs can be found via this link: http://165.235.0.10/access-fiscal/fiscal_service_center/CMR.html",
Warning_message,"This is a warning message. As a buyer, you are responsible for ensuring your purchase meets the thresholds noted in SCM-F Chapter 8 (http://www.dgs.ca.gov/pd/Resources/publications/SCMFI$Cal.aspx). The system allows this message to be clicked through.",
Search_Closed_POs,"When a PO is closed it will not be available on the Add/Update POs page. Use the following navigation to view closed POs:
 Main Menu > Purchasing > Purchase Orders > Review PO Information > Purchase Orders
",
Budget_Check_on_Requisition,Please submit ticket with Fiscal Service Center fiscalservicecenter@fiscal.ca.gov or via ServiceNow with a completed CMR form to get issue your issue resolved.,
Acquisition_on_PO,"The Acquisition Type/Method can only be changed while the PO is in open status. Once the PO is in the ""Approved"" or ""Dispatched"" status, the Acquisition Type/Method cannot be changed.",
To_dispatch_PO_and_generate_report,A PO must first be Approved and have its Budget Check in the ‘Valid’ status before it can be dispatched.,
To_view_the_printable_version_of_a_requisition,"You can print the requisitions using the following Navigation.
1. Navigate to main Menu > eProcurement > Manage Requisitions
2. Search for Your Requisition
3. Scroll Right
4. From Drop down menu select option as 'View Print' 
5. Click on Go",
Issue_with_Saving_a_requisition,"While saving multiple lines on requisition, click on “Save for later”  button after adding each line. This will allow you to save multiple lines without getting timed out.

In addition, ensure that you are only working in one open window.  Having multiple windows open can cause you to get timed out.",
Update_the_existing_PO_after_vendor_name_change,"Updates to the vendor on a PO are allowed if it is in “open” status.  You cannot update the supplier on a PO once it is routed for approval. Please cancel the PO you want to update, if it is not in open status",
Requisition_on_Hold_,"To approve a requisition on Hold, follow below steps:

1. Navigate to Main Menu >  eProcurement > Manage Requisition Approvals
2. Provide Requisition ID, Business Unit and select Status as 'On Hold' then click on search
3. Click on requisition ID
4. Click on the Approve Button to approve the Requisition",
Change_Publish_Date_,"Once an event is approved and posted, the published date cannot be changed or modified. After creating a new version of the event, the published date remains the same as previous version.",
Speed_Charts,"The speed charts are entered by the department themselves. Please check with your department's accounting team regarding the Speed charts. If you still have issue regarding speed charts after checking with accounting team, then raise an incident to the FI$Cal Service Center. ",
Chart_field_not_appearing_,This issue is caused whenever a Buyer leaves a department and his/her ID is disabled in FI$Cal. Their POs can be accessed in “Read Only” mode by other Buyers in the department. Raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.,
Budget_Check_Requisition_,"Follow the below steps to budget check the requisition:

1. Navigate to Main Menu > eProcurement > Requisition
2. Search for your Requisition
3. Scroll Right and select the Edit option from the Drop down menu
4. Click ok on the pop-up message
5. Click on Budget check button to budget check the Requisition",
Delete_SCPRS_Entry,Once a SCPRS entry is created it cannot be deleted from the system. Cancel and create a new one.,
Print_a_PO_created_in_a_Fiscal_Year,"To get a report that will print POs for a specific year, run the PO Activity report. Main Menu > Purchasing > Purchase Orders > Reports > Activity. 
If you are looking for POs that are only created by particular buyer you can run the PO listings report. 
Main Menu > Purchasing > Purchase Orders > Reports > Listings.
",
Unable_to_enter_a_dollar_amount_on_a_PO,"If a PO is copied from a contract and the ""Price can be changed on order"" box is unchecked then no updates to the price can be made on the PO. Unchecking this box on the contract will allow changes to the dollar amount on a PO.",
Issues_with_ship_to_ID_and_comments_while_dispatching_a_PO,Please refer to the Service Now article KB0061679.,
Po_Receipts_Outstanding_report,"For a report to find whether Receipts are paid or not, follow this navigation: Main Menu > Purchasing > Receipts > Reports > Receipts Summary. The unpaid receipts will show a status of “To Match.”",
Creating_P.O._for_Contract,"Please check whether the contract is expired or not. Create a new version of contract, and modify the expiry date field. Once the new version of contract is approved it will be ready to be sourced to PO.",
Amend_bill_codes_in_CSCR,"You cannot edit the existing version of a CSCR entry but can create a new version and post it to CSCR again. When a new version is created there will be two CSCR entries – one with the incorrect bill code with a status of ""inactive""; the new version will post with the correct bill code and will show the status ""posted."" You can also refer to Knowledge Article KB0054773 in ServiceNow for additional details.
",
Unable_to_generate_a_PO-Expedite,"Check if the Event was created from a requisition. It is not possible to directly create a PO from a Requisition that created the event. Instead, create a contract and then generate a PO from the contract.",
To_modify_an_event,"If the event is in the ""Approved"" and ""Posted"" status then a new version of the event will need to be created.  Refer to the following Job Aid for assistance with creating a new Event: http://www.fiscal.ca.gov/upk/PO383_v2.1.0/html/tpc/fcfa13b3-1079-40f1-9321-c935dbd02517/topic.html",
Saving_a_requisition,"Click on “Save for later” button after adding each line. This will allow you to save multiple lines without getting timed out.

",
Create_a_change_order_of_PO,"When the PO is in dispatched status, it is possible to make changes in PO by creating a Change order. Please follow the link below for the job aid of how to create a change order for a PO: http://www.fiscal.ca.gov/access-fiscal/documents/FISCal.290ChangeOrderforPO1.0.docx",
To_change_the_description_on_line_item,"The PO line item description can only be changed for POs which have never been ""Dispatched."" Once the PO is dispatched, the system will not allow any changes to the description of PO. If changes need to be made to this area then a Change Order needs to be made to the PO. Refer to the knowledge articles document on Service Now KB0059793.",
To_edit_the_supplier_information,"Once the contract is created it is not possible to change the supplier information. Cancel the contract and create a new contract with correct supplier information. Supplier information is editable only when contract is in ""Open"" status",
Speed_chart_issue,"For any errors with Speed Charts, contact your department’s accounting team to advise you on how to resolve the issue.",
To_change_the_event_ID,"No, once an event is created, the Event ID cannot be changed. You do have the option of canceling the event by clicking on cancel event icon on event the workbench page and creating a new event. ",
Opening_pending_cancel_PO,"Once the PO is in Pending Cancel status, the system cannot change its status to “Open.” In order to re-open the PO, budget check the PO and dispatch it so that it shows a status of ""Cancelled"" and the funds are disencumbered.",
Open_Encumbrance_Report,"Run ZZ_ENCUMBRANCE_STATUS_ENY from query viewer for the BU you want to search. Please follow the below steps:

1. Navigate to Main menu->Reporting tools->Query-> Query Viewer
2. Enter the Query name and Click on Search
3. Click on HTML hyperlink
4. Enter the required details according to your requirement and view the results",
Copy_Requisition_to_PO_Issue,"Please check the requisition encumbrance balance is zero or not. If it is zero, POs are already created from this requisition so it will not allow you to copy requisition to PO.",
Event_Approval_Inquiry_Hyperlink_Missing,"The approval inquiry hyperlink only appears if the event is in “Pending approval"" status. To see the details of event approval, navigate to Main menu-> Sourcing->Maintain Events->Event Workbench and click on the icon for inquiry.",
Unable_to_view_pending_req_in_manage_req_tab,Enter the Business Unit first and then click on search. This will populate results which include the requisition ID you are searching for.,
change_contract_ID_number, It is not possible to change the Contract ID for a contract once it has been created.,
To_link_contract_with_PO,"To link a contract to a PO, create a PO by copying it from the contract.
If a PO was not created from contract then, the system does not allow linkage between them.",
PO_Creation_from_an_old_closed_PO,"You can create a new PO from an old PO by choosing ""Purchase Order"" from the ""Copy From"" field on the Maintain PO screen. If you already typed information in the new PO, you will receive the warning, ""Copying from a PO will overwrite existing."" Using the ""Copy From Purchase Order"" feature wipes out anything you typed on the new PO and replaces it with the information contained in the old PO. This is message you can click through.
",
Unable_to_view_PO,"Check the status of PO you are searching for. PO(s) in Cancelled, Completed /Pending Cancel status cannot be viewed in Add/Update PO page. To view these PO's navigate to Main Menu->Purchasing->POs->Review PO Information",
Re-submission_of_denied_contracts_for_approval,"You can re-submit a denied Contract for Approval by changing the Contract status to ""Open"" and submit it for Approval. ",
calculating_incorrect_tax,"If you do not want tax to be calculated, Select ""Item is Exempt"" for tax applicability on PO line. ",
Cannot_view_a_contract.,"It is necessary to use the checkboxes to indicate the type of contract you are searching for on the LPA/Departmental Contracts search page. The search choices are: ""Show LPAs"" or ""Show Expired Contracts.""",
PO_supplier_correction, You cannot change a supplier on PO once the PO is submitted for approval. If the PO is approved or dispatched - you will need to cancel the PO and create a new one.,
PO_amount_exceeds_contract_amount,"While creating a PO from a contract, check if the total contract amount has already been expended. If the contract has not been fully expended, make the merchandise amount on the PO equal to, or less than, the Contract balance. You can alternatively increase the maximum amount on the Contract by creating a new version.",
Po_Denial,Click on the view approval link and then click the comment history and click on the links present there – you will be directed to the page stating who denied it. ,
Job_aid_to_see_who_has_viewed_the_bids,Please refer to knowledge article KB0062206 in ServiceNow for detailed steps of how to run a report listing the suppliers who have viewed a bid in Cal eProcure website.,
Quick_Reference_Guide_Entering_Bids,"Navigate to fiscal.ca.gov > Resources >Statewide Procurement Training >Creating a CSCR entry. To complete modifications on an event, create a new version which will make the previous version inactive. If you want any further instructions , you can navigate to fiscal.ca.gov > Resources >Statewide Procurement Training >Amending a CSCR entry. ",
Request_to_delete_event,Events can be cancelled but they cannot be deleted. ,
Solicitation_Approval_Process,Approver is a role in FI$Cal. Access is based on the role set up in the system. Requests for access to FI$Cal must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link: http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html.,
Disencumbering_PO_amount,"If a PO is no longer required and you need to disencumber any outstanding encumbrances, the Buyer will need to close the PO. Information on how to close a PO can be found in Job Aid, ""Closing a Purchase Order (PO) to Release Encumbrance Balances "" found at this link: http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Page_Data_is_inconsistent_with_database,If you are receiving this error message then try clearing out your browser cache first.  There may be an issue with your temporary internet files.  If the issue persists submit a ticket to the FI$Cal Service Center at fiscalservicecenter@fiscal.ca.gov or via ServiceNow.,
To_see_all_versions_of_event,"Please navigate to Main Menu > Sourcing > Create Events > Event Details > Find an Existing Value. You can find all versions of your Event there. To delete a previous version, Go to the Event Workbench and click on cancel ""X"" to cancel the version.
",
Unable_to_look_up_dispatched_PO,"To see dispatched POs navigate to:
Main Menu > Purchasing > Purchase Orders > Add/update PO's. 
Click on ""Find an Existing Value"", select the status of PO as ""Dispatched"" and click on search.
",
creation_of_Change_order_of_PO,"To update a Dispatched PO, you need to create a Change Order. Click on the ""Triangle"" icon in the right corner of the PO page to create a Change Order and complete the required changes.",
To_see_attachments_in_PO,"To view attachments in a PO, click on the ""Add Comments and Attachments"" link. You will be able to view or add new attachments.",
SCPRS_printing_issue,"Upload errors are usually temporary. Try logging out of FI$CAL and closing your browser. Reopen your browser, clear your cache (cntrl+shft+delete), and try again.  Additionally, you can try using a different web browser.  If the issue persists contact your departmental IT service desk for assistance.",
POs_Chart_fields_Warning_,This is the warning message the system displays when you change the price amount on your PO line once the PO has approved and/or dispatched.  You can click through message and proceed with the changes.,
Searching_LPA_,"It is necessary to use the checkboxes to indicate the type of contract you are searching for on the LPA/Departmental Contracts search page. The search choices are: ""Show LPAs"" or ""Show Expired Contracts.""",
Upload_SCPRS_,"Information on how to upload a SCPRS document is found in Job Aid, ""Uploading a SCPRS entry"" found at this link: http://fiscal.ca.gov/training-academy/future_release_training.html. ",
Changing_SCPRS_Document_ID,"SCPRS PO ID cannot be changed once entered and saved. If you want to assign a specific SCPRS ID, cancel the PO and create a new one with the correct ID.",
Event_not_showing_in_eProcure,"An event is shown in Cal eProcure portal ONLY if it satisfies these two conditions.

Condition 1: The event must be defined as “Public Event” so that it is viewable to anyone who visits Cale procure portal and does not requires to login with credentials.
Condition 2: The Event must be approved by all approvers so that the Event status is “Posted.”",
Search_Vendor/Bidders_by_UNSPSC_Code,Navigate to Main Menu > Search Vendor/Bidder page to search for Vendors or Bidders by the Category Codes they identified when registering.,
Contract_search_problem,If the New version Button is Greyed out - there is already a new version created. If you are not able to find it please select the version status as draft and search for it ,
Bids_View_report_on_Fiscal_,"Bidders who have seen your bid, downloaded it, and responded to you might not appear in the report. This report captures the bidders who logged into the Cal eProcure system by name but also anonymous users (those accessing the events as a public user). There is no other way to capture this information.",
Search_Requisition_,"You can resolve issues locating requistions by following these steps:
1) Enter the full requisition number with the preceding zeros to locate the requisition in the manage requisition page.
2) If you are entering the full requisition ID and are still unable to locate the requisition, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or via ServiceNow for further assistance.",
Encumbrance_Balance_on_PO,"If the encumbrance balance is incorrect on the PO, check to confirm the PO has been Budget Checked and is in ""Valid"" status. Access the ""Activity Summary"" page to view the current PO's encumbrance balance. ",
Event_viewers,Refer to Knowledge Article KB0062206 in Service Now to check who has viewed your Event.,
Price_Adjustment_Error,This is only a warning message. You are unable to change the adjustment. Ignore the warning message and continue with your transaction.  ,
change_Chart_fields_on_PO,"If the PO has any Receipts or Payments posted to it, the Chart Fields are not editable. If you need to change the Chart Fields you can either close the PO and create a new PO with the new Chartfields using the remaining Encumbrance balance, or you can add a line with the remaining encumbrance balance using the new Chart Fields.",
Approve_PO_,Approvers are allowed to Approve a PO even if the Budget has not been checked or is in error. Approver 2 should perform budget check and confirm the budget is valid before approving the PO.,
Budget_check_a_Denied_Requisition,Budget check does not run when a requisition is in Open or denied status. Submit the requisition for approval again and then budget check. ,
Unable_to_dispatch_Pos,"If you are unable to Dispatch a PO, check to confirm it has been approved and the Budget Check status is ""Valid"".",
Change_vendor_number_on_dispatched_PO,You cannot change the Supplier ID once a PO has been Dispatched. Cancel the PO and create a new Purchase Order by copying from the original one.  ,
Screen_Freezing,Issues with saving your work and unresponsive screens can be caused by your browser. Please follow the instructions mentioned in this link to delete the browser cache to resolve the issue: http://www.fiscal.ca.gov/documents/Browser_Delete_Cache_Help_Guide.pdf,
How_to_add_Adhoc_Approvers,"Departments can insert as many additional levels of approval to their standard workflow as they deem necessary, per document, for Requistions, POs, Contracts, etc. These additional levels of approval are called, ""Ad hoc Approvers"" and are explained in the FI$Cal University training, ""PO112 - Processing Requisitions WBT"" found at this link: http://www.fiscal.ca.gov/training-academy/index.html",
Unable_to_save_Receipt,An error message will appear while trying to create a Receipt when the buyer of a PO is either deleted or no longer active in the system. Raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.,
How_to_Approve_Event,"Follow the steps mentioned in the link below to approve an Event.
http://www.fiscal.ca.gov/upk/PO383_v2.1.0/html/tpc/a6a0f490-33ad-4e32-8d8e-6cba628cb01f/topic.html
",
Re-dispatch_or_Reprint_a_dispatched_PO_to_get_signed_PO.,"Follow the steps mentioned in the link below to redispatch or reprint a dispatched PO: 
http://www.fiscal.ca.gov/access-fiscal/documents/job_aids_and_training_tips/Re-Dispatching_a_PO_1.0.docx
",
How_to_add_or_modify_LPA_Contract_number_on_PO,"To find out the transactions awaiting approval in the worklist, click on the ""Worklist"" link located on the top right hand corner of the FI$Cal browser window. Once the link has been clicked the page will open up with the list of all the transactions needing action on.",
How_to_view_transactions_awaiting_approval_in_an_approvers_worklist,"To find out the transactions awaiting your approval in your worklist please click on the link ""Worklist""on top right hand corner of the screen. Once you click on the link, the page opens up which lists all the transactions awaiting your action.",
How_to_make_non_taxable_PO,"Follow the steps mentioned in the link below to make a non taxable PO.

http://www.fiscal.ca.gov/access-fiscal/documents/20130719_Job_Aid_Sales_Tax_on_Purchase_Orders.pdf",
General_Data_Extract_report_has_blank_value_for_PO_last_approved_by,"The POs that are partially approved will not have a value populated in the field ""PO Last Approved by"" report. Only POs which are approved at all approval levels will have that data populated in the report.
",
Unable_to_save_PO_due_to_error_message_Accounting_Date_is_not_open,"Assistance with closed accounting period PO processing is explained in Job Aid, ""Amending a Purchase Order that has a Closed Accounting Period"" found at this link: http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
"Event_is_Posted,_but_not_showing_up_on_Cal_Eprocure","An event is shown in Cal eProcure portal ONLY if it satisfies the following two conditions:

Condition 1: The event must be defined as a “Public Event” so that it is viewable to anyone who visits Cale procure portal and does not requires login with credentials (user name and password).
Condition 2: The Event must be approved and have an Event status of “Posted.”
",
When_does_batch_process_closes_a_PO_,"For information about how POs are closed, refer to the information found in ""Understanding the Close Purchase Orders Process"" found at this link:

https://docs.oracle.com/cd/E16365_01/fscm91pbr0/eng/psbooks/spog/chapter.htm?File=spog/htm/spog40.htm",
Approver_is_showing_skipped_on_workflow_and_is_not_able_to_approve_the_event,FI$Cal does not allow event buyers to approve their own events; this would skip approvers in the worklfow. Please change the buyer on the event and submit it for approval.,
Receiving_error_message_Invalid_Chartfield_combination_on_Line_number,"An ""Invalid ChartField"" warning will prevent the PO from being budget checked successfully. Recheck each line of the PO for correct of ChartField entries and correct where needed. Do this for all PO lines.",
Unable_to_use_P-Card_as_payment_method_on_a_PO,"In order to use P-Card as a payment method on a PO, a P-Card must be set-up in the FI$Cal system for your ID. Contact your department P-Card maintainer for assistance. If you cannot identify the P-Card maintainer for your department, then please reach out to the Fiscal Service Center for further help.",
SB_DVBE_Certification_information_not_appearing_on_PO,Contact DGS OSDS at OSDSHelp@dgs.ca.gov for assistance with Supplier certification in FI$Cal. ,
Mass_change_of_Buyers_of_a_PO,"Changing a Buyer on a PO is needed when a buyer's account is inactivated in FI$Cal (left the department, changed roles, etc). Raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.",
Unable_to_save_PO_due_to_PO_date_outside_LPA_contract_Begin_and_End_Date,Check the PO date and verify if the PO date is between the LPA Contract Begin Date and End Date. The information regarding LPA Contract Begin and End date can be found out in Cal ePrcoure portal. Follow the link below for more information. http://www.fiscal.ca.gov/upk/PO391_v2.1.0/html/tpc/96fc1b1a-c8eb-4dd5-9fd3-60ec83c4a49a/topic.html,
Unable_to_save_SCPRS_entry_due_to_PO_date_outside_LPA_contract_Begin_and_End_Date,"Check the PO Date and verify if the PO Date is in between LPA Contract Begin Date and End Date. Information regarding LPA Contract Begin and End date can be found in the Cal eProcure portal. Follow the link below, which explains how to search LPA contracts: 
http://www.fiscal.ca.gov/upk/PO391_v2.1.0/html/tpc/96fc1b1a-c8eb-4dd5-9fd3-60ec83c4a49a/topic.html",
Unable_to_find_navigation_to_add_Receipts,"There are two navigation paths for creating or editing receipts: 

Main Menu > eProcurement > Buyer Center > Receipts > Add/Update Receipts 
Main Menu > Purchasing > Receipts > Add/Update Receipts

If you are unable to use this navigation then your profile in the system is missing the ""Department Receiving Processor"" role. Access is based on the role set up in the system. Requests for access to FI$Cal must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html
",
Not_authorized_to_view_or_edit_contract,"This issue occurs because the buyer of the contract is not listed on your authorized list of Contract Buyer Preferences. Access is based on the role set up in the system. Requests for access to FI$Cal must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html",
Unable_to_edit_PO_line_Description,"FI$Cal allows edits to a line Item description of a Dispatched PO by creating a change order.
If there are any receipts or vouchers created of a PO line then a user must delete the voucher and cancel the receipt before creating a change order to edit the line Item description.
Refer to knowledge article KB0059793 for detailed steps on how to change a line Item description for a PO.
",
Unable_to_save_the_PO_as_system_gives_error_message_The_latest_Contract_version_is_available_for_the_Contract_associated_with_the_PO_line,"This message means that a new version contract has been created and approved. Refer to FAQ # 27 to understand this error message:

http://www.fiscal.ca.gov/faqs/documents/Purchase_Order_FAQs_1.0.docx",
Contract_on_Hold,"A buyer receives this email notification when any approver puts the contract on ""Hold"" status. Check the Contract approval comments for reasons why the contract is on hold.",
Delete_a_Requisition,"A requisition cannot be deleted from the system. The only option is to cancel the requisition and budget check to release the funds to the budget.  Once you have cancelled the requisition, it will no longer show in the Search pages.",
SCPRS_Upload_Question,"For questions related to using the SCPRS upload process, follow the link below:

http://www.dgs.ca.gov/pd/Programs/caleprocure/caleprocurebuyers/SUPER.aspx

or contact the DGS SUPER Team at eprocure@dgs.ca.gov.  DGS-PD will provide the template, onboard departments to the process, and troubleshoot errors with them.",
Unable_to_save_Receipt,"This may be because the buyer has left your department. When a buyer leaves a department, receipts will not be saved and chartfields will not be copied over. Raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.",
Unable_to_Access_Speed_chart_Values,For issues with Speed Charts access and configurations open a ServiceNow ticket or send an email to Fiscal Service Center with a description of the issue you are currently facing.,
Unable_to_Create_Receipt,"A PO must satisfy three conditions for a receipt to be created against it.
1. The PO must be in the ""Dispatched"" status.
2. The Budget Check must be ""Valid"" 
3. There must be a Quantity or Amount greater than zero to be received from the PO.
",
Upload_documents_in_Receipt,"To attach dcoument to receipt follow the steps below:

1. Navigate to Main Menu> Purchasing > Receipt > Add/Update Receipt
2. Click on Find and Existsing value
3. Enter Buinsess Unit and Receipt ID
4. Click on link ""Add Header Comments""
5. Attach the document and click OK
6. Click on Save button",
Sales_tax_in_Requisition,Sales tax is calculated field updated when a PO is created. The system does now allow addition of Sales Tax on a requisition.  ,
Unable_to_Open_Dispatched_PO,"Check if the browser in use has a pop up blocker setting turned off. If the settings cannot be changed, work with the local IT department for assistance on updating this feature to be compatible with the FI$Cal application.",
Contract_base_Price,"While creating a PO from a contract and you are seeing a $0 amount on a PO line, check the contract line base price. If the contract line base price is not given or set, then it will appear on the PO as $0 merchandise amount. Create a new version of the contract, then go to the Contract line details and add the correct base price there. Submit contract for approval.
",
Allow_Open_Item_Reference_,"""Allow Open Item References"" check box enables you to purchase items against a Contract that are not specified on that contract. This check box also enables you to reference the contract for any requisition and PO item that is ordered from this vendor within the terms and limits of this contract. This check box also enables you to add open-item price adjustments to the contract. By checking this check box, you can create a PO with additional items which were not specified in that contract.""",
DGS_Billing_code,"DGS Billing codes are associated with Business Units. Please go to the PO defaults of contract and check if a Business Unit is provided. Please provide the Business unit and other details of PO defaults and then try to provide DGS billing code.  For more assistance, email SRFFiscalServices@dgs.ca.gov",
Budget_check_Closed_PO,"Once a PO has been closed, it must be budget checked to liquidate its encumbrance. Please budget check the closed PO, if there is budget status 'Not checked' from Buyer's work bench. 
To Pick closed PO in buyer's work bench, select the check box 'Include Closed' at buyer's workbench search page. ",
PO_supplier_correction, You cannot change a supplier on a PO once the PO is submitted for approval. Once the PO is approved or dispatched - you can the PO and create a new one with the correct supplier information.,
Warning_Message_ship_to_ID_change,"After changing Ship To ID a popup message will appear. This Popup is a warning message that changing the Ship To ID will change the default Tax ID to match the new Ship To address. You can click ok on this message and proceed with further processing of PO.
",
Performance_issue,"This is a temporary issue. Please clear browser cache once and try entering the information again. Follow these steps:

1. Log out of the application
2. Clear browser cache
3. Close and re-open the browser
4. Log back in to the system and try again",
Temporary_issue,"This is a temporary issue. Please clear browser cache once and try entering the information again. Follow these steps:

1. Log out of the application
2. Clear browser cache
3. Close and re-open the browser
4. Log back in to the system and try again",
SCPRS_Acquisition_Method,"Once an SCPRS entry is saved, you cannot change the acquisition method or type. You will be required to cancel this entry and create a new one. Detailed information on how to cancel an SCPRS can be found at:

http://www.fiscal.ca.gov/training-academy/future_release_training.html",
Budget_check_,"In case of Budget error(s), navigate to distributions of the PO. Check if you have provided correct values to all the Chart fields and a valid budget date. Change the incorrect values if any, then save the PO and Budget check PO again.",
Publish_Date,"Event will not be visible on Cal eProcure Portal before its Publish date. The publish date of an Event depends upon the Event's approval and Preview date, whichever is latest.

If the event is within the Published Date/Start Date then check if you have selected the Public Event and Post to CSCR check boxes on Step 3 of the CSCR.",
Deleting_PO_Line,You cannot delete a PO line if PO has been dispatched once. You can cancel the PO line instead of deleting it. Go to Statuses Tab on PO Line and Right click on cross icon to cancel PO line ,
Change_order_detail,"To View changes made on a PO, navigate to Purchasing > Purchase Orders > Manage change orders > Review Changes
",
Changing_Supplier_ID_on_Contract,"Changes to Supplier ID on a Contract depends on whether it has been approved or not.

If the contract is not approved, you may change the Supplier ID directly on the Contract by creating a new version does create a new version mean edit the existing version and resubmit and re-submitting the contract for Approval.

If the contract is already approved, but a PO is not issued for the contract, please cancel the contract. Once cancelled, create a new contract with the desired Supplier.

If a PO or a Receipt was already created for the Contract, please cancel the PO, the Receipt and the contract and start all over with a new contract with the desired Supplier.
",
PO_not_Dispatching,"This might be a temporary issue. If the servers went down, it could cause Dispatch and other processes to remain in Queued status. When the servers come back up, POs will be dispatched. Check back in a few minutes and if your PO is still not dispatched, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow 
for further assistance.",
Events_Approvals_,"To check who can approve your event:
1. Open your event 
2. Scroll down and click on link 'View Approvals'
3. If urgent, contact event approver",
Po_Dispatch_Issue,"To re-dispatch a PO refer to the following Job Aid:

http://www.fiscal.ca.gov/access-fiscal/documents/job_aids_and_training_tips/Re-Dispatching_a_PO_1.0.docx",
Closing_a_PO,If you need access to another buyer's PO please raise a ticket with the Fiscal Service Center via ServiceNow or by emailing fiscalservicecenter@fiscal.ca.gov.,
Budget_Issue,Raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance with a budget-related issue.,
Vendor_Issue,"Advantage is not supported by FI$Cal. If you are having trouble with FI$Cal supplier ID’s contact your Advantage support team.
Recommend removing this until the information given here is verified.",
Turn_off_workflow,"Turning off the workflow for the BU requests are submitted on a Configuration Management Request (CMR) from your department's DAD. Instructions for this process can be found on the FI$Cal website:

http://www.fiscal.ca.gov/access-fiscal/fiscal_service_center/CMR.html",
Procurement_Contract_issue,If you are having trouble liquidating a contract with a PO contact the FI$Cal Service Center for assistance. Recommend removing this until the information given is verified and expanded.,
PO_approval_issue,"Approver is a role in FI$Cal. Access is based on the role set up in the system. Requests for access to FI$Cal must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html",
Chartfield_default_values,"The ChartField ""Alternate Account"" and ""Account"" fields have default values based on the category code. You can change the values by clearing the ""Alt Account"" field before attempting changes to the ""Account"" field.
",
Issue_with_supplier,"When the ""Allow Open Item Reference"" checkbox is checked on a contract, the system will not allow more than one contract created for the same supplier and begin date.",
Encumbrance_Only_PO_Issue:_Sales_Tax_Populated,"If you do not want tax to be calculated, select ""Item is Exempt"" for tax applicability. Otherwise, select the proper tax code related to percentage.",
How_to_Cancel_a_Change_Order_,"Change Orders cannot be cancelled. If the Change Order was for amount only, you can go back to the PO and change the amount to the previous amount you had entered.  ",
Fiscal/SCPRS-contract_not_available,"A contract must be in ""Approved"" status before it is entered into FI$Cal.",
Unable_to_find_available_balances_on_PO,"To find the available balance of a PO, navigate to the Add/Update PO's page and locate the ""Activity Summary"" link. This will show you the merchandise matching done from a PO. You can also check document status to see the amount already paid.",
Delete_line_of_Dispatched_PO,"You can remove lines from a PO where no invoices have been sourced from it by cancelling the line from the ""Statuses"" tab of the PO.",
CSCR_Event_ID-_Saved_but_not_Posted,"This is a warning message. You can continue posting of the event. To post an event, save the event details, and click on post tab",
